Time(ms),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-200.0,-5.907799561548307,1.5912764955715668,7.49907605711992,2.1369383163127904,-6.740028761304084,4.589021187965898,3.1517019329044316,-0.9032515490148818,1.1155668677536983,-1.3821607842353432,-1.3044581129453188,0.17825166434125794
-199.0,5.0936143115050125,-4.767690101449779,-9.861304412954759,-0.19051577951739174,7.530971773449809,-7.34718018410544,-1.4065717769329147,-5.171842635204378,-2.0474891460023326,-10.090062527005538,-5.068313145734947,-6.315821827785694
-198.0,17.167731337481328,0.650505260739985,-16.51722607674133,-8.944290381511735,16.824811111559256,-7.882474000633511,-5.375756364443108,0.4058844114838851,-2.9653645532987576,-3.7717146579964917,-2.795783026477618,-4.14297070232076
-197.0,2.469173336888881,3.2851683646524794,0.8159950277636021,-2.8406522169164736,0.8102646520728944,2.0283202315769326,-2.3121528780380745,-1.5036874080212734,0.04198478318178789,-0.17258116403206092,1.3797529039156928,0.9038531341440414
-196.0,-18.369711836125585,-1.7449742178374175,16.624737618288176,10.088838060900432,-17.51934452494237,7.421424520204763,5.3425426390318345,2.403835070792285,4.206043918667403,5.797588482449315,4.460951461470406,5.616582576973938
-195.0,-2.1545204450268365,1.0199888817946756,3.1745093268215454,0.5961493135410274,-2.6983424133082865,2.078638053834062,0.18324118945793222,0.6815364937747108,-1.701769167583022,1.2984632747115143,0.7258621861220076,0.4879005071209601
-194.0,1.8014483589718786,-2.9092672103849697,-4.710715569356812,0.502952516542136,3.2865554175073686,-3.8334497007886132,3.437446627217679,2.3671954206607744,0.6791353468236556,1.06107385072601,1.6864144229765012,0.8502036289028035
-193.0,-1.6429520080956208,0.07640595905864622,1.7193579671542953,0.8098160144417014,-1.6637798730495745,0.9446828698956082,-0.8668536197487342,1.1458947685807286,-0.10924736817100536,0.9602732606794054,-1.202598213879765,-0.8258076667746218
-192.0,0.6677475056034883,0.38078448228352674,-0.2869630233199467,-0.5794663366061751,0.4865342229661145,0.0052498392370839975,-4.795913543735683,-1.3500212818495463,0.6638052542359267,-1.6868700877044442,-1.7756349253196975,-0.18385697020116298
-191.0,0.7948591901180029,0.46351061204779187,-0.331348578070207,-0.6110424824799525,0.5707300980272181,0.09507910074175119,3.071197227261284,-2.248917392849504,0.19581295260498077,-0.006397565882795941,-2.310458393884222,-1.4763135290525073
-190.0,3.0512573188912055,-2.7154978396190494,-5.7667551585102625,-0.15696305434081648,4.421107984346557,-4.216399365672504,-1.178040559394606,-0.1693003892061835,-1.3643749970519565,-0.8921347768957835,-1.42669007843755,-5.944701445409904
